"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "CSS", "HTML", "TypeScript", "comment", "blank", "total"
"/home/xander/Documents/EICT/GUI/EindProjectGUI_2022/src/index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"/home/xander/Documents/EICT/GUI/EindProjectGUI_2022/src/main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 4, 13
"/home/xander/Documents/EICT/GUI/EindProjectGUI_2022/src/polyfills.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 47, 6, 54
"/home/xander/Documents/EICT/GUI/EindProjectGUI_2022/src/styles.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/xander/Documents/EICT/GUI/EindProjectGUI_2022/src/test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 4, 5, 27
"/home/xander/Documents/EICT/GUI/EindProjectGUI_2022/tailwind.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/home/xander/Documents/EICT/GUI/EindProjectGUI_2022/tsconfig.app.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 1, 1, 16
"/home/xander/Documents/EICT/GUI/EindProjectGUI_2022/tsconfig.json", "JSON with Comments", 0, 31, 0, 0, 0, 0, 0, 1, 1, 33
"/home/xander/Documents/EICT/GUI/EindProjectGUI_2022/tsconfig.spec.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 46, 31, 20972, 19, 3, 155, 378, 74, 188, 21866
